X,Y1,Y2,Y3,Y4
1.0,-628.3231929,-628.1442847,-628.108236,-628.0722685
1.1,-628.3905552,-628.2117268,-628.1757132,-628.1400646
1.2,-628.4242534,-628.2454217,-628.2093067,-628.1733634
1.3,-628.4371558,-628.258235,-628.2257745,-628.1850073
1.4,-628.4356176,-628.2567995,-628.2354639,-628.1842591
1.5,-628.4268971,-628.2481605,-628.2454813,-628.1762351
1.6,-628.414192,-628.2573665,-628.2358949,-628.1669891
1.7,-628.4001984,-628.2671678,-628.2219448,-628.175481
1.8,-628.3859811,-628.2755182,-628.207764,-628.1823541
1.9,-628.3728963,-628.2815742,-628.1878112,-628.1863071
2.0,-628.3590453,-628.2880966,-628.1968639,-628.19277
2.2,-628.3381515,-628.2964132,-628.2010168,-628.1982982
2.4,-628.3227809,-628.3019819,-628.2033518,-628.2015919
2.6,-628.3123103,-628.3056872,-628.2047899,-628.2035837
2.8,-628.3081183,-628.3056522,-628.2057669,-628.2047781
3.0,-628.309686,-628.3016533,-628.2064523,-628.2054919
3.5,-628.3115184,-628.2976695,-628.2073368,-628.2062984
4.0,-628.3120352,-628.2967777,-628.207594,-628.206516
4.5,-628.312121,-628.2965485,-628.2076077,-628.2065154
5.0,-628.3120958,-628.2964597,-628.2075629,-628.2064652
6.0,-628.3120516,-628.2964029,-628.2075132,-628.2064133
7.0,-628.3120457,-628.2963944,-628.207507,-628.2064069
8.0,-628.3120452,-628.296394,-628.2075064,-628.2064063
